month,Mkt-RF,SMB,HML,RMW,CMA,mom,Quality,BAB,RF
196307,-0.39,-0.41,-0.97,0.68,-1.18,0.9,0.684436194,0.542285495,0.27
196308,5.07,-0.8,1.8,0.36,-0.35,1.01,-0.9914621,-1.465830219,0.25
196309,-1.57,-0.52,0.13,-0.71,0.29,0.19,0.623597154,0.798651057,0.27
196310,2.53,-1.39,-0.1,2.8,-2.01,3.12,2.001581951,-2.165605282,0.29
196311,-0.85,-0.88,1.75,-0.51,2.24,-0.74,-0.862888242,-0.789820304,0.27
196312,1.83,-2.1,-0.02,0.03,-0.07,1.75,0.317778449,-0.277115507,0.29
196401,2.24,0.13,1.48,0.17,1.47,0.86,0.480655593,0.312817006,0.3
196402,1.54,0.28,2.81,-0.05,0.91,0.26,-0.439578296,-0.761539108,0.26
196403,1.41,1.23,3.4,-2.21,3.22,0.75,-1.460262414,-0.498250649,0.31
196404,0.1,-1.52,-0.67,-1.27,-1.08,-0.58,1.443069562,2.235903893,0.29
196405,1.42,-0.63,1.86,-0.16,0.17,2.57,-0.011122548,0.260341133,0.26
196406,1.27,0.29,0.62,-0.28,-0.17,0.46,-0.308866121,0.486500166,0.3
196407,1.74,0.5,0.75,0.08,1.91,-0.35,0.687090372,1.86441241,0.3
196408,-1.44,0.41,0.08,0.12,0.35,-0.22,-0.061833952,0.657714229,0.28
196409,2.69,-0.34,1.7,-0.56,0.62,-0.41,-0.271663921,-2.119643727,0.28
196410,0.59,0.87,1.17,-0.43,0.47,0.08,-0.537737379,0.326234382,0.29
196411,0,-0.15,-1.96,0.63,-0.26,1.03,0.57299278,1.702960292,0.29
196412,0.03,-0.69,-2.48,1.07,-1.5,-0.74,0.684925187,-0.343566176,0.31
196501,3.54,2.44,0.12,0.91,0.1,-1.44,-0.741667561,-0.217822676,0.28
196502,0.44,3.31,0.11,0.23,-0.68,0.32,-1.179361028,-0.387994261,0.3
196503,-1.34,2.12,1.03,-0.32,0.69,0.15,-0.401137454,-0.825641207,0.36
196504,3.11,1.05,0.66,0.3,-2.2,2.63,-0.623770229,-0.753026601,0.31
196505,-0.77,0.1,-1.61,-0.45,0.53,0.6,-0.033971725,-0.323062729,0.31
196506,-5.51,-4.28,0.59,0.22,0.37,-3.13,1.218535414,-0.271274448,0.35
196507,1.43,1.08,2.2,-1.37,0.03,4.1,-0.695926425,-1.271776685,0.31
196508,2.73,2.71,-1,1.9,-0.74,2.58,-0.677235552,-2.273938315,0.33
196509,2.86,0.62,-0.13,-0.89,0.8,3.3,-0.16017426,-1.568523424,0.31
196510,2.6,3.47,1.56,1.17,-0.65,3.46,0.052886373,-2.051227388,0.31
196511,-0.03,5.19,0.15,-1.01,-0.94,4.45,-1.176904648,-2.411842103,0.35
196512,1.01,2.66,2.03,-1.14,-0.53,0.12,-1.135493496,-0.437659249,0.33
196601,0.72,4.68,3.56,-2.82,-0.11,5.39,0.092631271,0.972845489,0.38
196602,-1.21,4.71,0.33,-0.17,-1.49,4.57,-1.805885604,-2.046873417,0.35
196603,-2.51,0.32,-1.98,1.3,0.06,1.42,-0.24896425,-0.008781132,0.38
196604,2.14,3.35,-0.46,0.39,-0.95,6.28,-0.616031245,-1.438118307,0.34
196605,-5.66,-5.1,-1.63,1.64,-1.52,-4.7,2.799710849,-0.395732234,0.41
196606,-1.44,1.37,0.5,0.15,0.78,3.25,-1.191435329,-1.745848191,0.38
196607,-1.63,-0.41,0.95,-0.36,1.79,-1.34,0.751371928,-0.366511378,0.35
196608,-7.91,-3.12,0.43,-0.09,0.8,-2.14,1.704913517,-3.410515199,0.41
196609,-1.06,-1.14,0.56,-1.68,2.37,-1.84,0.511079644,0.8579034,0.4
196610,3.86,-6.45,2.69,-3.48,4.25,-5.26,-0.360149702,1.692210342,0.45
196611,1.4,3.34,-4.69,4.13,-6.62,5.72,0.362078406,-5.692544312,0.4
196612,0.13,2.02,-1.19,0.7,-0.34,1.06,-1.27204971,-1.144980202,0.4
196701,8.15,9.1,2.27,0.96,-3.16,-6.93,-3.385812743,0.969194477,0.43
196702,0.78,3.06,-2.22,1.99,-0.99,3.52,-0.669415487,2.257220066,0.36
196703,3.99,1.87,0.37,0.86,-1.6,1.53,-0.6887627,0.416739781,0.39
196704,3.89,0.43,-2.48,2.33,-3.67,0.59,2.730439596,1.386213989,0.32
196705,-4.33,2.29,1.09,-1.73,1.73,0.72,0.805264797,1.67809638,0.33
196706,2.41,6.43,0.85,-0.62,-2.42,6,-0.918980386,-1.904366316,0.27
196707,4.58,3.54,2.73,0.48,2.7,-1.07,0.366115833,4.249788926,0.31
196708,-0.89,0.72,1.44,0.3,1.45,-1.38,0.50234977,1.956102687,0.31
196709,3.11,2.44,-2.5,0.2,-0.95,2.52,1.346718742,1.809920878,0.32
196710,-3.09,0.53,-3.3,1.01,-2.62,3.67,1.052891025,-0.42654961,0.39
196711,0.37,-0.04,-1.7,1.34,-2.34,1.26,-0.083774009,-1.111137317,0.36
196712,3.05,5.75,-0.53,-0.81,0.13,3.25,-1.618151768,-0.13370684,0.33
196801,-4.06,4.51,4.8,-4.62,6.46,-4.7,-0.357892375,5.89245381,0.4
196802,-3.75,-2.91,1.28,-0.16,2.45,-3.43,2.056341915,1.740761571,0.39
196803,0.2,-1.59,-0.59,1.05,-1.1,3.23,0.164935917,-1.964106957,0.38
196804,9.05,6.18,-1.13,2.69,-3.65,5.09,-2.010790591,-0.260486123,0.43
196805,2.28,7,0.85,0.43,-1.92,3.8,-0.388798486,1.363854879,0.45
196806,0.69,-0.28,0.73,-1.41,2.76,-1.9,-0.436122249,6.462706472,0.43
196807,-2.72,-1.41,5.39,-3.13,3.72,-0.88,1.280087424,1.994871913,0.48
196808,1.34,2.27,1.01,-0.7,0.48,1.89,-0.41196941,-0.273800215,0.42
196809,4.03,2.81,0.3,-1.99,0.87,-0.65,-3.188301546,0.28084155,0.43
196810,0.42,-0.42,2.86,-1.32,2.7,-1.46,-0.009321472,2.780959274,0.44
196811,5.43,2.39,-0.92,0.43,-2.43,1.75,-1.4073137,2.150838404,0.42
196812,-3.94,3.52,-0.01,-1.86,1.76,-0.01,-0.281150694,0.615095688,0.43
196901,-1.25,-0.44,1.67,-1.55,1.38,-0.17,-0.567672355,0.157733671,0.53
196902,-5.84,-4.16,0.91,2.07,0.83,-2.36,4.177811511,-0.767086839,0.46
196903,2.64,-0.45,-0.51,-1.43,-0.35,3.97,0.165991991,-2.224079094,0.46
196904,1.46,-0.8,-0.03,0.41,0.06,1.13,0.721215263,-1.013087514,0.53
196905,-0.1,-0.11,0.7,-0.95,1.39,1.7,1.3934805,1.283633554,0.48
196906,-7.18,-5.45,-1.08,4.32,-1.6,-2.3,4.590544074,-1.819498026,0.51
196907,-7,-3.41,1.2,1.48,1.91,1.71,2.704684062,-1.574826915,0.53
196908,4.68,0.7,-3.79,1.13,-4.02,2.17,-0.143399456,-1.814438671,0.5
196909,-2.98,1.29,-3.27,3.39,-0.82,2.52,3.833273292,-0.5016813,0.62
196910,5.06,3.96,-3.16,0.05,-2.15,-4.31,-1.619666223,0.596407264,0.6
196911,-3.79,-2.45,-1.19,1.46,0.3,3.66,2.82656469,-0.895037084,0.52
196912,-2.63,-3.76,-2.86,2.54,-1.81,4.96,4.048694353,-0.073657791,0.64
197001,-8.1,3.12,3.13,-1.72,3.84,0.6,1.799384292,0.383384213,0.6
197002,5.13,-2.76,3.93,-2.29,2.76,0.23,-2.488173634,1.99454647,0.62
197003,-1.06,-2.41,3.99,-1,4.29,-0.36,0.810725094,3.611468549,0.57
197004,-11,-6.4,6.18,-0.64,6.21,-0.77,3.903967943,0.889375509,0.5
197005,-6.92,-4.48,3.33,-1.21,3.9,-2.78,0.682012825,-5.517484127,0.53
197006,-5.79,-2.2,0.6,0.13,2.96,5.7,3.69835622,3.812072737,0.58
197007,6.93,-0.62,0.9,-0.26,1.84,-3.14,-0.19963674,2.876370649,0.52
197008,4.49,1.52,1.15,0.56,-0.21,-6.55,-2.0603997,-1.623807505,0.53
197009,4.18,8.51,-5.47,0.3,-5.83,-8.8,-3.175566457,-6.021686171,0.54
197010,-2.28,-4.43,0.22,1.71,2.34,9.42,4.050491506,3.868413159,0.46
197011,4.6,-3.86,1.69,1.57,1.47,2.73,0.940314752,3.908870263,0.46
197012,5.72,2.94,1,0.27,0.3,-2.23,-0.82188375,5.630445322,0.42
197101,4.84,7.54,1.33,-1.99,0.07,-6.51,-4.367871321,-1.921169602,0.38
197102,1.41,2.04,-1.23,0.62,-0.7,0.79,1.374100935,-0.610592264,0.33
197103,4.13,2.26,-3.95,1.82,-2.71,-1.41,0.911206029,-0.236543462,0.3
197104,3.15,-0.36,0.69,-1.47,0.87,1.41,-1.059683981,-0.547315611,0.28
197105,-3.98,-1.11,-1.44,1.4,0.25,0.86,1.669210717,-0.712710531,0.29
197106,-0.1,-1.48,-1.87,1.53,-1.64,2.73,0.698813179,1.180253377,0.37
197107,-4.5,-1.39,0.02,0.64,1.46,-2.35,2.633372797,1.122789084,0.4
197108,3.79,-0.16,2.63,-0.43,2.64,3.61,-2.730416245,-0.506235606,0.47
197109,-0.85,0.28,-2.91,2.56,-1.58,2.12,2.260370334,-0.28691262,0.37
197110,-4.42,-1.6,-0.48,1.62,-1.35,0.47,2.638661311,0.470297829,0.37
197111,-0.46,-2.86,-1.68,2.44,-0.34,1.51,1.78672522,-0.425389085,0.37
197112,8.71,3.27,-0.4,-0.4,-1.75,-0.58,-1.422516689,2.613233299,0.37
197201,2.49,6.1,2.24,-1.69,0.55,0.17,-1.568134512,-4.521655934,0.29
197202,2.87,0.87,-2.79,1.61,-0.52,2.54,1.121852058,-0.588027966,0.25
197203,0.63,-0.43,-1.61,1.63,-0.18,2.94,0.560682669,1.034495979,0.27
197204,0.29,0.23,0.12,-0.42,-1.03,2.81,-0.150431387,-0.588927001,0.29
197205,1.25,-3.1,-2.7,2.34,-1.95,3.29,3.498309346,0.721314945,0.3
197206,-2.43,-0.43,-2.48,1.88,-0.36,1.9,2.876232573,-0.225672917,0.29
197207,-0.8,-2.77,0.66,1.14,-0.66,2.75,2.259551074,1.137295771,0.31
197208,3.26,-3.48,4.54,-1.96,2.85,-5.4,-1.305238378,1.994684671,0.29
197209,-1.14,-2.23,0.46,1.68,-1.97,1.82,1.62080085,-0.04171878,0.34
197210,0.52,-2.54,1.34,-0.15,0.02,0.71,0.255953612,2.049237095,0.4
197211,4.6,-0.62,4.85,-1.95,3.37,-5.09,-2.420535709,2.67182566,0.37
197212,0.62,-1.89,-2.19,2.6,-2.16,4.92,3.062284856,1.173685885,0.37
197301,-3.29,-2.81,2.68,0.42,0.9,3.73,2.911496736,-1.286153026,0.44
197302,-4.85,-3.91,1.6,-0.26,0.02,2.16,1.372466176,-0.433624678,0.41
197303,-1.3,-2.33,2.62,-1.07,0.62,3.59,-0.434321943,-1.065457304,0.46
197304,-5.68,-2.9,5.41,-1.58,2.6,6.36,1.120957889,0.765174283,0.52
197305,-2.94,-6.17,0.41,1.95,-1.57,7.14,2.065273232,0.199877651,0.51
197306,-1.57,-2.48,1.2,-0.21,0.11,4.3,1.615021726,-1.295561027,0.51
197307,5.05,7.26,-5.31,-0.05,-3.28,-11.57,-2.444661576,-4.584356064,0.64
197308,-3.82,-1.84,1.24,-1.31,1.3,3.46,-0.186971876,-0.967377214,0.7
197309,4.75,3.6,2.01,-2.33,1.77,-7,-5.199871096,1.564693996,0.68
197310,-0.83,-0.38,1.94,-1.9,2.71,6.87,0.915596156,0.700751568,0.65
197311,-12.75,-7.28,3.87,-2.63,1.73,8.66,2.025668766,-4.681837427,0.56
197312,0.61,-4.69,3.85,-2.78,2.48,10.38,-2.160797565,0.95660762,0.64
197401,-0.17,10.41,6.02,-3.07,4.42,-8.85,-3.318770422,-2.677844192,0.63
197402,-0.47,0.06,2.81,-1.87,2.63,0.32,-2.08499896,1.792027716,0.58
197403,-2.81,2.65,-0.32,2.8,0.44,-1.05,3.143365691,0.070253339,0.56
197404,-5.29,-0.7,0.85,2.87,2.09,2.11,3.254994394,-4.226740192,0.75
197405,-4.68,-3.07,-2.02,4.95,-0.42,-0.39,4.473472744,-2.346128987,0.75
197406,-2.83,0,0.77,0.57,2.94,2.31,1.700974045,-0.970936333,0.6
197407,-8.05,1.92,5.16,-3.25,4.6,3.11,-1.500770318,-0.979798736,0.7
197408,-9.35,0.26,2.64,-0.28,2.59,3,0.154159226,-5.374567025,0.6
197409,-11.77,1.48,5.58,-4.44,5.91,4.24,-2.379067476,-1.904607954,0.81
197410,16.1,-6.82,-9.87,-0.21,-2.86,-0.54,1.513459056,4.065053003,0.51
197411,-4.51,-1.48,-0.2,-3.37,2.92,2.13,-1.333282858,-2.005507346,0.54
197412,-3.45,-4.35,0.11,-0.68,3.25,2.92,1.012945724,-3.367862935,0.7
197501,13.66,12.91,8.28,-0.78,-0.9,-13.82,-5.767463579,4.255227597,0.58
197502,5.56,-0.65,-4.44,1.16,-2.1,-0.61,2.751391675,-1.120963233,0.43
197503,2.66,4,2.38,1.26,-1.33,-2.04,0.013745709,-4.472471769,0.41
197504,4.23,-0.71,-1.14,1.41,-1.34,1.38,2.90346352,0.708083941,0.44
197505,5.19,2.89,-4.1,-0.98,-0.6,-0.58,-1.709081223,0.952871778,0.44
197506,4.83,1.43,1.38,-2.66,1.06,0.04,-3.6739298,2.536217545,0.41
197507,-6.59,3.44,1.69,0.46,1.22,0.42,-0.647874916,3.534920658,0.48
197508,-2.85,-2.84,-0.95,1.11,-0.93,-0.1,2.004935444,-0.771825702,0.48
197509,-4.26,0.05,0.39,0.53,0.55,0.41,1.498458417,2.029949818,0.53
197510,5.31,-4.23,0.28,-0.49,2.26,-0.16,0.019466607,1.380718323,0.56
197511,2.64,-1.09,2.03,-0.68,1.75,-0.45,-0.173347968,1.063505843,0.41
197512,-1.6,-0.05,1.69,-0.09,0.57,-0.11,-1.431763794,-2.28060982,0.48
197601,12.16,6.34,8.63,-1.79,2.28,4.45,-2.836332941,2.067268037,0.47
197602,0.32,7.99,5.87,-2.64,3.87,0.38,-2.467594303,0.323634131,0.34
197603,2.32,-1.38,-0.12,-0.33,0.96,0.15,0.140152521,-0.851334085,0.4
197604,-1.49,0.08,-0.16,0.4,-1.1,0.59,-0.862174025,2.081400777,0.42
197605,-1.34,-1.1,-1.36,2.46,-1.41,-1.12,1.279795133,-0.159237145,0.37
197606,4.05,-1.07,0.71,-0.68,1.02,-0.42,-1.373900221,-1.765561066,0.43
197607,-1.07,0.63,1.73,-1.05,0.28,-0.13,-0.196914613,1.395967028,0.47
197608,-0.56,-1.98,0.81,-0.42,-0.55,-0.85,-0.149046987,0.963446979,0.42
197609,2.07,0.1,-0.29,0.98,-1.15,0.22,0.819404069,1.284659234,0.44
197610,-2.42,0.13,-0.18,-0.19,-0.37,-0.44,-0.088486692,0.707430886,0.41
197611,0.36,2.66,1.51,-1.41,0.09,2.91,-2.005738579,0.04982948,0.4
197612,5.65,3.64,2.27,-0.61,2.28,0.73,-0.886005828,2.76607207,0.4
197701,-4.05,5.9,4.27,-0.51,1.97,4,-2.627740017,3.71226533,0.36
197702,-1.94,1.07,0.47,-0.16,-0.22,0.36,2.074894586,2.138883164,0.35
197703,-1.37,1.31,1.09,-0.3,-0.06,0.55,-0.847717011,0.849904945,0.38
197704,0.15,0.61,3.38,-2.01,1.14,4.21,-1.734602873,0.675662315,0.38
197705,-1.45,1.31,0.85,0.33,0.19,2.03,-0.700317655,0.665318252,0.37
197706,4.71,2.08,-0.74,0.91,-1.2,1.66,-0.833277489,-0.622856703,0.4
197707,-1.69,1.88,-0.56,0.73,0.09,0.32,0.918374926,2.440288801,0.42
197708,-1.75,0.86,-2.7,0.98,-0.66,-1.7,3.053998797,-0.096325351,0.44
197709,-0.27,1.43,-0.52,1.43,-0.84,2,0.350445105,-0.018217322,0.43
197710,-4.38,1.48,1.75,-0.2,-0.3,-0.08,1.051249669,-0.306992184,0.49
197711,4,3.64,0.26,-0.13,0.73,2.01,-0.643568657,-0.220467619,0.5
197712,0.27,1.59,-0.29,0.92,-0.69,1.58,0.370811576,1.879207843,0.49
197801,-6.01,2.72,3.36,-1.72,1.52,-0.66,-1.083140316,-0.255682567,0.49
197802,-1.38,3.7,0.83,0.3,1.01,1.97,-0.04273206,1.030645424,0.46
197803,2.85,3.71,1.18,-0.59,1.89,1.37,-1.432480096,1.103305473,0.53
197804,7.88,-0.26,-3.54,2.81,-1.26,0.86,3.029319085,2.666380157,0.54
197805,1.76,4.58,-0.52,0.22,0.41,2.83,0.529382059,1.70198083,0.51
197806,-1.69,1.56,0.57,-1.4,-0.07,2.74,-0.319604498,1.559444303,0.54
197807,5.11,0.12,-1.15,1.55,-0.78,4.17,1.27042162,-0.186398901,0.56
197808,3.75,4.95,-0.51,1.43,0.46,2.83,0.638708109,4.089456452,0.56
197809,-1.43,-0.32,1.89,-0.67,1.78,-3.14,-0.977738798,1.769363133,0.62
197810,-11.91,-10.02,1.38,0.12,0.94,-8.46,3.360363072,-4.433185077,0.68
197811,2.71,2.81,-2.15,1.13,-1.17,5.45,-0.503136051,-4.913948207,0.7
197812,0.88,1.13,-2.13,2.01,-1.32,3.03,2.384688901,-0.560179246,0.78
197901,4.23,3.78,2.19,-2.47,1.52,-1.36,-2.694630124,2.570400126,0.77
197902,-3.56,0.54,1.17,-1.12,0.94,-1.06,-0.888187668,0.306717526,0.73
197903,5.68,3.24,-0.71,0.53,0.32,2.93,-1.724187377,-2.163342449,0.81
197904,-0.06,2.37,1.12,1.08,0.17,0.81,0.953893342,0.328934352,0.8
197905,-2.21,0.18,1.31,-1.54,-0.27,-0.54,-1.528258966,-0.943253032,0.82
197906,3.85,1,1.44,-1.66,-0.52,0.84,-2.943184027,0.839201228,0.81
197907,0.82,1.27,1.86,-0.29,0.71,-1.07,0.573462708,0.830372699,0.77
197908,5.53,1.92,-1.58,1.62,-1.48,-0.2,0.99800281,1.18644853,0.77
197909,-0.82,-0.32,-0.9,1.01,0.32,5.28,0.054701873,-0.436211042,0.83
197910,-8.1,-3.5,-1.84,1.01,0.07,2.01,2.213434266,-5.572510011,0.87
197911,5.21,2.53,-3.29,0.06,-2.12,8.14,-2.213108426,-2.590300223,0.99
197912,1.79,4.32,-2.1,-0.7,-0.92,4.78,-1.256614497,-0.114211846,0.95
198001,5.51,1.83,1.75,-1.7,1.64,7.55,-2.736992579,1.831074506,0.8
198002,-1.22,-1.57,0.61,0.04,2.68,7.88,-1.902934398,-2.422423849,0.89
198003,-12.9,-6.93,-1.01,1.46,-1.19,-9.55,4.715098287,-5.919093422,1.21
198004,3.97,1.05,1.06,-2.1,0.29,-0.43,-3.410878618,0.828137904,1.26
198005,5.26,2.11,0.38,0.34,-0.31,-1.12,0.682429825,2.838337295,0.81
198006,3.06,1.41,-0.76,-0.15,-1.26,1.62,-1.101344256,3.082803744,0.61
198007,6.49,3.82,-6.41,4.06,-2.43,0.39,3.553207425,-1.471845769,0.53
198008,1.8,4.25,-2.6,2.06,-0.86,3.21,-0.110304598,0.883630448,0.64
198009,2.19,0.67,-4.59,1.91,-2.76,5.39,1.212329317,0.535969948,0.75
198010,1.06,2.33,-2.76,1.65,-1.15,7.3,0.478154833,-1.168879534,0.95
198011,9.59,-3.31,-8.33,4.5,-5.66,15.22,1.13215954,-7.21604036,0.96
198012,-4.52,-0.29,2.79,-1.29,1.24,-6.68,0.848361802,-0.394184852,1.31
198101,-5.04,3.29,6.72,-3.51,4.33,-7.95,-0.586623481,3.673816409,1.04
198102,0.57,-0.5,1.02,0.21,2.22,-1.35,1.464807457,0.889999936,1.07
198103,3.56,3.02,0.64,-2.24,-0.54,0.74,-1.028854286,2.457121502,1.21
198104,-2.11,4.59,2.28,0.83,1.24,-0.91,1.32697852,4.589167905,1.08
198105,0.11,2.45,-0.42,0.3,-1.53,3.7,-1.532072889,-1.508077734,1.15
198106,-2.36,-0.96,5.13,-1.37,2.66,-5.81,1.023247254,4.093389869,1.35
198107,-1.54,-2.05,-0.5,1.26,-2.54,-2.45,0.479514085,-2.576901948,1.24
198108,-7.04,-1.81,4.76,-0.32,1.41,-1.15,0.530863911,0.72313121,1.28
198109,-7.17,-2.45,5.17,0.08,2.63,1.95,0.682512603,-2.861666792,1.24
198110,4.92,2.37,-4.21,3.15,-3.01,4.01,0.866583275,-3.147801126,1.21
198111,3.36,-1.51,1.83,0.08,0.95,-0.27,0.870904247,3.299903037,1.07
198112,-3.65,1.2,0.81,0.22,2.5,1.3,1.81955025,1.338744201,0.87
198201,-3.24,-1.14,3.19,-1.49,1.92,1.72,0.123136653,-0.776606976,0.8
198202,-5.86,0.35,6.05,-3.48,4.56,4.88,0.358626422,2.102817029,0.92
198203,-1.87,-0.05,3.81,-1.38,2.49,2.96,-0.604885634,0.663910166,0.98
198204,3.27,1.09,-2.7,1.57,-0.01,-0.4,1.355140847,1.014158583,1.13
198205,-3.99,0.64,1.75,0.87,-0.3,2.5,1.725085318,1.419976074,1.06
198206,-3.09,-0.52,1.53,0.01,2.72,4.96,0.685980592,-1.453625145,0.96
198207,-3.19,0.95,0.09,1.04,1.55,4.45,1.52183088,0.439342,1.05
198208,11.14,-4.35,0.95,-1.89,0.09,-3.52,-1.557103282,-3.025322373,0.76
198209,1.29,2.61,0.28,2.14,-0.04,4.19,2.589874192,7.036412681,0.51
198210,11.3,1.92,-3.66,0.29,-0.34,0.18,-1.660180767,2.191351359,0.59
198211,4.67,4.43,-1.87,-0.97,0.27,5.95,1.754368262,6.098884382,0.63
198212,0.55,-0.04,-0.02,-0.01,1.02,0.04,0.843914712,2.368658115,0.67
198301,3.6,3.35,-0.75,-1.55,-0.58,-1.73,-2.216054157,1.992932059,0.69
198302,2.59,2.92,0.7,-0.52,1.05,3.77,1.151903647,7.705791232,0.62
198303,2.82,1.37,2.02,-0.17,2.74,0.92,1.020318208,5.900886086,0.63
198304,6.67,0.48,0.49,-0.11,1.42,1.72,-0.646496738,3.95684694,0.71
198305,0.52,6.3,-1.4,-1.84,-1.51,-1.56,-2.155745655,2.436876277,0.69
198306,3.07,1.18,-3.9,2.6,-0.87,1.8,2.108615402,2.214176138,0.67
198307,-4.07,1.01,5.62,-0.14,2.81,-3.13,0.019794142,3.058909943,0.74
198308,-0.5,-4.32,5.54,0.51,1.9,-5.43,0.859778151,-1.638687418,0.76
198309,0.91,0.3,1.01,1.24,0.5,-0.03,1.720723141,2.706374132,0.76
198310,-3.44,-3.77,4.97,-0.77,2.96,-4.52,1.426007093,2.720746903,0.76
198311,2.16,1.87,-0.72,-0.67,0.66,-0.13,-0.168931975,-0.826660245,0.7
198312,-1.78,-0.45,1.73,1.64,1.27,0.84,1.873959574,0.627305671,0.73
198401,-1.92,-0.04,7.58,-0.89,2.92,-2.56,-2.182198179,2.535790385,0.76
198402,-4.82,-1.59,3.33,0.9,1.58,0.22,0.899765561,-2.631849572,0.71
198403,0.63,-0.29,0.46,-0.96,1.17,1.07,0.153767792,-0.953842634,0.73
198404,-0.51,-0.95,1.2,3.34,0.76,2.07,3.174033238,-1.002647834,0.81
198405,-5.97,0.13,0.31,2.36,-0.46,1.51,2.772431721,0.990688992,0.78
198406,1.82,0.11,-2.66,3.17,-1.56,-0.7,2.20471765,0.001512577,0.75
198407,-2.74,-2.22,0.36,3.55,-2.15,2.85,3.091425061,2.088446089,0.82
198408,10.28,-0.26,-1.82,-0.68,-0.92,-5.59,-2.067556754,-0.804209909,0.83
198409,-0.8,-0.03,5.28,1.37,2.41,3.62,0.081051551,3.5876208,0.86
198410,-0.84,-1.44,0.45,1.18,-1.09,3.16,2.115703271,1.685661749,1
198411,-1.76,-1.02,4.06,0.72,2.06,1.64,1.064065638,0.529704124,0.73
198412,1.84,-0.65,-0.26,1.31,-1.36,1.49,0.198826729,-0.38200624,0.64
198501,7.99,3.51,-5.35,-0.89,-3.41,-6.82,-1.060020816,1.431570431,0.65
198502,1.22,1.04,-0.1,1.29,1.06,1.88,1.826933978,4.214638627,0.58
198503,-0.84,-1.39,4.07,1.23,2.88,1.58,-0.202982359,2.696019745,0.62
198504,-0.96,-0.1,3.72,1.55,0.71,3.04,0.382692665,2.599173369,0.72
198505,5.09,-2.31,-0.96,1.33,-1.49,3.99,0.55419674,0.889387786,0.66
198506,1.27,0.35,0.38,1.76,-0.77,3.57,0.606315786,2.396995804,0.55
198507,-0.74,2.87,-1.62,-0.42,-0.38,-3.91,1.019502586,-1.095857207,0.62
198508,-1.02,-0.29,2.32,-0.1,1.83,1.85,0.069162255,0.279677769,0.55
198509,-4.54,-1.8,1.29,1.14,1.64,1.51,3.097717586,-0.121128683,0.6
198510,4.02,-1.5,0.75,0.89,-1.06,4.88,0.415766311,1.573079418,0.65
